METER_ID,OBJECTID,Meter_Styl,Type,Sub_Base,Max_Hours,Rate_Per_H,Rate_Per_D,Hours_Oper,Sign_Type,Notes,Duplex,LegacyID,Location,FacilityID,Rotation,GlobalID
16J11,1055,Tallboy,Electronic,Concrete Sidewalk,2 hours,1.00 per hour,10.00,8:30 - 5:00,,,,3,16-J,16J11,180,{5FBA389D-FA58-42D8-9438-0944528F1425}
15L19,1056,Tallboy,Electronic,Concrete Sidewalk,2 hours,1.00 per hour,10.00,8:30 - 5:00,,,,3,15-L,15L19,180,{42E489D8-9B35-47AA-BCD5-9296EE8347CA}
15L18,1057,Tallboy,Electronic,Concrete Sidewalk,2 hours,1.00 per hour,10.00,8:30 - 5:00,,,,3,15-L,15L18,180,{EA803786-2477-4142-A89E-04628AA179F6}
15L17,1058,Tallboy,Electronic,Concrete Sidewalk,2 hours,1.00 per hour,10.00,8:30 - 5:00,,,,3,15-L,15L17,180,{BC545BED-FD66-4CE6-9AC9-C3B61E671A14}
15L16,1059,Tallboy,Electronic,Concrete Sidewalk,2 hours,1.00 per hour,10.00,8:30 - 5:00,,,,3,15-L,15L16,180,{924AF656-CDEB-48B3-8248-25F58E0ECDB7}
15L15,1060,Tallboy,Electronic,Concrete Sidewalk,2 hours,1.00 per hour,10.00,8:30 - 5:00,,,,3,15-L,15L15,180,{D6613419-36D2-4D6A-BCCA-BB8BDC4152E9}
15L14,1061,Tallboy,Electronic,Concrete Sidewalk,2 hours,1.00 per hour,10.00,8:30 - 5:00,,,,3,15-L,15L14,180,{A019AAEF-F254-4E8D-A198-476606C4C65E}
15L13,1062,Tallboy,Electronic,Concrete Sidewalk,2 hours,1.00 per hour,10.00,8:30 - 5:00,,,,3,15-L,15L13,180,{3CBDAD57-FAD9-48E8-A465-4FF645DB4D95}
15L12,1063,Tallboy,Electronic,Concrete Sidewalk,2 hours,1.00 per hour,10.00,8:30 - 5:00,,,,3,15-L,15L12,180,{FDD76925-0354-4ED0-AAB0-5967E32F4F99}
15L11,1064,Tallboy,Electronic,Concrete Sidewalk,2 hours,1.00 per hour,10.00,8:30 - 5:00,,,,3,15-L,15L11,180,{C4704AF5-1256-4E0F-9526-0A841288C01E}
15L10,1065,Tallboy,Electronic,Concrete Sidewalk,2 hours,1.00 per hour,10.00,8:30 - 5:00,,,,3,15-L,15L10,180,{34569CAF-7B1C-462F-A257-CFB8490B18E6}
15L01,1066,Tallboy,Electronic,Concrete Sidewalk,2 hours,1.00 per hour,10.00,8:30 - 5:00,,,,3,15-L,15L01,180,{E7763D58-211F-4308-8A98-596581EEEDEB}
15G59,1067,VIP,Electronic,Concrete Sidewalk,2 hours,1.00 per hour,10.00,8:00 - 5:00,,,,3,15-G,15G59,0,{0315B492-66DF-4BE1-BBFF-E6996D8745F3}
15G58,1068,VIP,Electronic,Concrete Sidewalk,2 hours,1.00 per hour,10.00,8:00 - 5:00,,,,3,15-G,15G58,0,{F6072EF6-BBAB-42D7-A2E3-3ED132DD8A7E}
15G57,1069,VIP,Electronic,Concrete Sidewalk,2 hours,1.00 per hour,10.00,8:00 - 5:00,,,,3,15-G,15G57,0,{117C4FFA-611D-4D22-A679-2675140C5E38}
